GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sakila-db,com.arrowsmith.sakiladb.controllers,FilmController,0,37,0,0,0,9,0,8,0,8
sakila-db,com.arrowsmith.sakiladb.controllers,RootController,5,0,0,0,2,0,2,0,2,0
sakila-db,com.arrowsmith.sakiladb.controllers,CityController,0,22,0,0,0,6,0,5,0,5
sakila-db,com.arrowsmith.sakiladb.controllers,Credentials,3,0,0,0,2,0,1,0,1,0
sakila-db,com.arrowsmith.sakiladb.controllers,LanguageController,0,22,0,0,0,6,0,5,0,5
sakila-db,com.arrowsmith.sakiladb.controllers,RentalController,0,22,0,0,0,6,0,5,0,5
sakila-db,com.arrowsmith.sakiladb.controllers,AddressController,0,22,0,0,0,6,0,5,0,5
sakila-db,com.arrowsmith.sakiladb.controllers,CustomerController,6,25,0,0,1,7,1,5,1,5
sakila-db,com.arrowsmith.sakiladb.controllers,ActorController,0,22,0,0,0,6,0,5,0,5
sakila-db,com.arrowsmith.sakiladb.controllers,CategoryController,0,22,0,0,0,6,0,5,0,5
sakila-db,com.arrowsmith.sakiladb.controllers,StoreController,0,22,0,0,0,6,0,5,0,5
sakila-db,com.arrowsmith.sakiladb.controllers,InventoryController,0,24,0,0,0,6,0,5,0,5
sakila-db,com.arrowsmith.sakiladb.services,LanguageService,26,0,0,0,6,0,5,0,5,0
sakila-db,com.arrowsmith.sakiladb.services,CustomerService,31,0,0,0,7,0,6,0,6,0
sakila-db,com.arrowsmith.sakiladb.services,ActorService,26,0,0,0,6,0,5,0,5,0
sakila-db,com.arrowsmith.sakiladb.services,StoreService,26,0,0,0,6,0,5,0,5,0
sakila-db,com.arrowsmith.sakiladb.services,AddressService,26,0,0,0,6,0,5,0,5,0
sakila-db,com.arrowsmith.sakiladb.services,CityService,26,0,0,0,6,0,5,0,5,0
sakila-db,com.arrowsmith.sakiladb.services,RentalService,26,0,0,0,6,0,5,0,5,0
sakila-db,com.arrowsmith.sakiladb.services,InventoryService,32,0,0,0,7,0,6,0,6,0
sakila-db,com.arrowsmith.sakiladb.services,FilmService,0,53,0,0,0,12,0,8,0,8
sakila-db,com.arrowsmith.sakiladb.services,CategoryService,26,0,0,0,6,0,5,0,5,0
sakila-db,com.arrowsmith.sakiladb.entities,FilmCategory,3,0,0,0,1,0,1,0,1,0
sakila-db,com.arrowsmith.sakiladb.entities,Rating,33,0,0,0,2,0,1,0,1,0
sakila-db,com.arrowsmith.sakiladb.entities,Film,0,3,0,0,0,1,0,1,0,1
sakila-db,com.arrowsmith.sakiladb.entities,Inventory,16,11,0,0,1,3,1,1,1,1
sakila-db,com.arrowsmith.sakiladb.entities,Staff,3,0,0,0,1,0,1,0,1,0
sakila-db,com.arrowsmith.sakiladb.entities,Store,0,3,0,0,0,1,0,1,0,1
sakila-db,com.arrowsmith.sakiladb.entities,FilmCategoryId,3,0,0,0,1,0,1,0,1,0
sakila-db,com.arrowsmith.sakiladb.entities,FilmActorId,50,0,10,0,6,0,8,0,3,0
sakila-db,com.arrowsmith.sakiladb.entities,FilmActor,3,0,0,0,1,0,1,0,1,0
sakila-db,com.arrowsmith.sakiladb.entities,RatingConverter,23,0,4,0,7,0,5,0,3,0
sakila-db,com.arrowsmith.sakiladb.entities,Address,18,3,0,0,1,1,1,1,1,1
sakila-db,com.arrowsmith.sakiladb.entities,Rental,0,11,0,0,0,3,0,1,0,1
sakila-db,com.arrowsmith.sakiladb.entities,FilmText,3,0,0,0,1,0,1,0,1,0
sakila-db,com.arrowsmith.sakiladb.entities,Actor,0,3,0,0,0,1,0,1,0,1
sakila-db,com.arrowsmith.sakiladb.entities,Language,8,3,0,0,1,1,1,1,1,1
sakila-db,com.arrowsmith.sakiladb.entities,City,0,3,0,0,0,1,0,1,0,1
sakila-db,com.arrowsmith.sakiladb.entities,Customer,0,23,0,0,0,2,0,2,0,2
sakila-db,com.arrowsmith.sakiladb.entities,Payment,3,0,0,0,1,0,1,0,1,0
sakila-db,com.arrowsmith.sakiladb.entities,Category,0,3,0,0,0,1,0,1,0,1
sakila-db,com.arrowsmith.sakiladb.entities,Country,3,0,0,0,1,0,1,0,1,0
sakila-db,com.arrowsmith.sakiladb,CorsConfig,39,0,0,0,11,0,2,0,2,0
sakila-db,com.arrowsmith.sakiladb,SakilaDbApplication,5,3,0,0,2,1,1,1,1,1
